IDCOMPANY;COD_CDC;DESC_CDC;INIZIO_CDC;FINE_CDC;COD_DETT;DESC_DETT;INIZIO_DETT;FINE_DETT;FLATTR;DTSTARTVL;DTENDVL
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRAIVA-IND;BraIvan-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRAMAT-DIR;BraMattia-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRAMAT-DIR;BraMattia-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRAMAT-IND;BraMattia-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRAMAT-IND;BraMattia-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRITHO-DIR;BriThomas-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRITHO-DIR;BriThomas-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRITHO-IND;BriThomas-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRITHO-IND;BriThomas-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRUMIG.IND;BruMiguel-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRUMIG.IND;BruMiguel-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRUMIG-DIR;BruMiguel-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRUMIG-DIR;BruMiguel-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BUDIVA-DIR;BudIvan-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BUDIVA-DIR;BudIvan-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BUDIVA-IND;BudIvan-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BUDIVA-IND;BudIvan-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BUTCHI-DIR;ButChiara-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BUTCHI-IND;ButChiara-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAECOV-DIR;CarEdgard/ConViola-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CAECOV-IND;CaeEdgard/ConViola-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CALGAI-DIR;CalGaia-dirette;01-10-2017;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CALGAI-DIR;CalGaia-dirette;01-10-2017;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CALGAI-IND;CalGaia-indirette;01-10-2017;31-12-2999;;;
